                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.98404,                 1.6038,                 1.2029,                0.83636,                0.80875,                0.87931,                0.67389,                0.90619,                 0.8356,                  1.061,             0.00021238,             0.00021238,             0.00021238
                    106,                0.99584,                  1.656,                 1.2129,                0.81216,                0.81453,                0.88079,                0.67528,                0.88741,                0.82756,                 1.0579,             0.00021168,             0.00021168,             0.00021168
                    107,                0.96217,                 1.5817,                 1.2103,                0.86725,                0.80557,                0.88476,                0.68016,                0.89581,                0.82175,                 1.0587,             0.00021097,             0.00021097,             0.00021097
                    108,                0.95727,                 1.5757,                 1.2041,                0.81679,                0.82457,                0.87482,                0.68649,                 0.8517,                0.82954,                 1.0371,             0.00021026,             0.00021026,             0.00021026
                    109,                0.97733,                 1.6314,                 1.2203,                0.83728,                0.80486,                0.87705,                0.69374,                0.80397,                 0.8299,                 1.0218,             0.00020955,             0.00020955,             0.00020955
                    110,                0.96605,                 1.6127,                 1.1903,                 0.8311,                0.81229,                0.88281,                0.67712,                0.90119,                0.82631,                 1.0612,             0.00020884,             0.00020884,             0.00020884
                    111,                0.97069,                 1.5725,                 1.2036,                0.84619,                0.81098,                0.88775,                0.70199,                0.82728,                0.81277,                 1.0277,             0.00020814,             0.00020814,             0.00020814
                    112,                 0.9646,                  1.556,                 1.2121,                0.82932,                0.80574,                0.88184,                0.69758,                0.80556,                0.82502,                 1.0176,             0.00020743,             0.00020743,             0.00020743
                    113,                 0.9654,                 1.5272,                 1.1945,                0.82457,                0.82119,                0.89257,                0.67502,                0.91503,                0.80773,                 1.0608,             0.00020672,             0.00020672,             0.00020672
                    114,                0.97343,                 1.5326,                 1.2003,                0.88003,                0.80429,                0.88951,                0.70694,                0.80195,                0.79989,                  1.013,             0.00020601,             0.00020601,             0.00020601
                    115,                0.95121,                 1.5864,                 1.2157,                0.87783,                0.80895,                0.89472,                0.70862,                0.80575,                0.78638,                 1.0137,             0.00020531,             0.00020531,             0.00020531
                    116,                0.97938,                 1.5789,                 1.2279,                 0.8134,                0.84786,                0.88558,                 0.6879,                0.86937,                0.79881,                 1.0385,              0.0002046,              0.0002046,              0.0002046
                    117,                0.97135,                 1.5801,                 1.2014,                0.84929,                0.85238,                0.89414,                0.67933,                0.89906,                0.80558,                  1.059,             0.00020389,             0.00020389,             0.00020389
                    118,                0.94741,                 1.4895,                 1.1804,                0.85923,                0.82322,                0.89715,                0.71043,                0.81356,                0.77793,                 1.0119,             0.00020318,             0.00020318,             0.00020318
